start	end	length	IDY	missing1	missing2	
363957999	363959549	1550	0.7716	0.0555	0.0839	
370488538	370489057	519	0.2717	0.3988	0.3025	
382462177	382462869	692	0.7413	0.0434	0.1055	
384715814	384716137	323	0.9226	0.0	0.0031	
385768895	385769092	197	0.8122	0.0102	0.1066	
385871659	385872038	379	0.8549	0.0026	0.0369	
389884283	389884758	475	0.8442	0.0611	0.0232	
394461557	394462725	1168	0.7654	0.0462	0.1045	
400804625	400805316	691	0.5977	0.2055	0.1462	
403295753	403296266	513	0.6218	0.1365	0.1735	
415974946	415975670	724	0.8011	0.0994	0.0456	
417391722	417392052	330	0.8758	0.0152	0.0061	
417747076	417747709	633	0.6414	0.1264	0.1264	
422043456	422044286	830	0.6602	0.0964	0.2	
423510422	423511735	1313	0.2727	0.3747	0.3161	
429603493	429604646	1153	0.3651	0.2853	0.2628	
434271680	434272185	505	0.6139	0.0356	0.2554	
437138578	437139036	458	0.7205	0.0524	0.1376	
438031153	438031766	613	0.4812	0.2757	0.2088	
438103789	438104365	576	0.8785	0.0104	0.0226	
438415557	438415936	379	0.9604	0.0	0.0	
438699568	438700599	1031	0.6605	0.1979	0.0951	
439939283	439940410	1127	0.3416	0.2263	0.3496	
441114166	441114817	651	0.4332	0.2519	0.2657	
467825846	467826082	236	0.8305	0.0508	0.0212	
478316504	478317147	643	0.8476	0.0171	0.0342	
start	end	length	IDY	missing1	missing2	
104737540	104737969	429	0.6876	0.0023	0.2331	
104857205	104857479	274	0.8029	0.0036	0.1423	
107860346	107860949	603	0.529	0.1791	0.1857	
201513611	201513975	364	0.0	0.0	1.0	
111684632	111684873	241	0.9502	0.0041	0.0166	
111735943	111736292	349	0.8911	0.0201	0.0229	
113636173	113636822	649	0.7057	0.0924	0.114	
114592216	114592401	185	0.9622	0.0	0.0	
292753742	292754815	1073	0.3924	0.2992	0.2321	
119891527	119892219	692	0.0	0.0	1.0	
120670715	120671534	819	0.9512	0.0073	0.0024	
12177605	12177970	365	0.7123	0.0411	0.1671	
212039599	212040505	906	0.4658	0.2263	0.2241	
212155728	212156351	623	0.3291	0.5377	0.0787	
212587673	212588890	1217	0.5629	0.1068	0.1783	
215032949	215033161	212	0.0	0.0	1.0	
307228556	307228999	443	0.5214	0.2641	0.1558	
129405247	129405548	301	0.7076	0.0199	0.1063	
132420791	132421090	299	0.8194	0.0301	0.0268	
132460546	132460936	390	0.0	0.0	1.0	
137896548	137896832	284	0.8908	0.0141	0.0176	
138912565	138913298	733	0.7108	0.0246	0.1869	
141051451	141052534	1083	0.7276	0.0674	0.121	
141595344	141595578	234	0.9402	0.0	0.0256	
145908527	145909024	497	0.6579	0.0121	0.2636	
146405206	146405563	357	0.9132	0.014	0.0112	
236856793	236857422	629	0.5342	0.07	0.3164	
24057203	24064612	7409	0.283	0.2791	0.399	
24101077	24102111	1034	0.0	0.0	1.0	
152645889	152646759	870	0.2977	0.2115	0.4448	
152671938	152672926	988	0.3188	0.0304	0.584	
152748075	152748461	386	0.6554	0.0363	0.1528	
248332561	248332920	359	0.6825	0.2033	0.0334	
162432944	162433242	298	0.1007	0.0	0.5503	
253361043	253361574	531	0.6403	0.1149	0.1224	
253692879	253693264	385	0.8935	0.0052	0.0	
255591266	255591562	296	0.8412	0.0236	0.0676	
356126996	356128054	1058	0.6739	0.0652	0.1323	
171135761	171137992	2231	0.4908	0.1013	0.3187	
171289255	171290288	1033	0.4521	0.1665	0.2652	
172284927	172285235	308	0.8182	0.0552	0.026	
172409995	172410397	402	0.9104	0.0	0.0174	
174287222	174288386	1164	0.1847	0.4794	0.317	
174559484	174560716	1232	0.2638	0.1656	0.5276	
175195026	175195532	506	0.5158	0.0771	0.3024	
261167710	261168199	489	0.816	0.002	0.0654	
176705236	176705926	690	0.0	0.0	1.0	
2641065	2641281	216	0.9028	0.0	0.0139	
181868061	181869193	1132	0.2668	0.5786	0.1113	
184038253	184039847	1594	0.2039	0.638	0.0985	
187335650	187336314	664	0.3027	0.2877	0.3705	
190021210	190022282	1072	0.8172	0.0289	0.041	
195132100	195132760	660	0.4061	0.1909	0.3652	
386212296	386212555	259	0.4595	0.2819	0.1467	
197648657	197649280	623	0.4286	0.0626	0.4591	
289269760	289270221	461	0.7332	0.0911	0.0499	
290058100	290058531	431	0.5847	0.1647	0.1879	
205039988	205040409	421	0.2945	0.2067	0.4584	
57536762	57537009	247	0.0	0.0	1.0	
400803191	400803549	358	0.838	0.0251	0.0363	
215036358	215036933	575	0.4417	0.1339	0.3774	
309708075	309708780	705	0.4397	0.1021	0.3943	
41532787	41533167	380	0.3605	0.0158	0.5553	
317544171	317544911	740	0.3135	0.1649	0.4622	
227471309	227471815	506	0.7609	0.0395	0.1206	
86312690	86313216	526	0.4867	0.1084	0.3213	
359578059	359578729	670	0.594	0.1254	0.1866	
230305616	230305971	355	0.8394	0.0028	0.062	
231373276	231374641	1365	0.5319	0.2022	0.1553	
232672847	232673455	608	0.2829	0.6628	0.0296	
91477635	91480757	3122	0.0727	0.5503	0.3523	
234401770	234402058	288	0.7882	0.0174	0.0903	
330847363	330847933	570	0.4158	0.3193	0.1842	
23557954	23558312	358	0.7961	0.0475	0.0698	
331543570	331544106	536	0.6623	0.1101	0.1679	
425220272	425220450	178	0.0	0.0	1.0	
337978542	337979174	632	0.5791	0.1693	0.1835	
241451929	241452157	228	0.7456	0.0614	0.0921	
241711115	241711851	736	0.7772	0.0774	0.1046	
244351252	244352886	1634	0.317	0.1248	0.4957	
34556502	34556817	315	0.5333	0.0317	0.3016	
438051356	438051855	499	0.5972	0.2826	0.0641	
438472049	438472316	267	0.5019	0.015	0.4345	
