baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
HMEL002012g1.t1	0.475080773641745	-2.47225313441601	1.02792976272148	-2.40507982556186	0.0161689335028615	0.0393625827261073
HMEL002016g1.t1	6.27104024203849	1.11850947641679	0.555109068015018	2.01493641675934	0.0439113116775335	0.0905334720548144
HMEL002017g1.t1	15.419820275974	-0.745803440658726	0.820200789613638	-0.90929373648865	0.363195095955376	0.492756039025579
HMEL002020g1.t1	0.876821011156699	-4.24744131303058	1.44317562299447	-2.94312157533364	0.00324920791569924	0.0101650264619161
HMEL002023g1.t1	10.3686260794496	4.79907882411159	0.918174430095028	5.2267615681858	1.72504718891042e-07	1.97589011935038e-06
HMEL002023g2.t1	12.4272338998635	4.30323359379203	1.33525489441082	3.22278061799641	0.00126952745131464	0.00459715358178406
HMEL002024g1.t1	2.71676328919704	3.53010168626672	1.32683435223522	2.66054438545385	0.00780144440073159	0.0212577594752762
HMEL002041g1.t1	0	NA	NA	NA	NA	NA
HMEL002041g1.t2	0	NA	NA	NA	NA	NA
HMEL002041g2.t1	0.0493049349949523	-0.520151148401689	3.82935639884512	-0.135832524901197	0.891953678192764	NA
HMEL002043-RA	1.05769449794616	-0.325469011944593	0.69106088884667	-0.470970094238407	0.637662091194094	0.741564842038942
HMEL002053g1.t1	1.49610086148225	-1.16581044256033	1.12585856684945	-1.03548569677156	0.300442142787981	0.428028418502401
HMEL002054g1.t1	0.0277251802850352	-0.650775487451751	3.82939088359568	-0.169942298196702	0.865055515764937	NA
HMEL002054g2.t1	0.0460050647658018	-0.590520626386137	3.82937932384095	-0.154207921557855	0.877445796403811	NA
HMEL002059g1.t1	425.861806105091	-1.58018558930754	0.369185538959375	-4.28019362232232	1.86730786401074e-05	0.000121901687737727
HMEL002060g1.t1	100.38445759184	0.926157146814327	0.432082381364226	2.14347352902968	0.0320750944238162	0.0694671402754283
HMEL002062g1.t1	0	NA	NA	NA	NA	NA
HMEL002063g1.t1	0.107968483314862	-0.35635281935757	3.82928464430217	-0.093059893024095	0.925855979848731	NA
HMEL002069g1.t1	278.405728541173	-0.491803340353574	0.343002480638211	-1.43381861098642	0.151624032531364	0.248675489287502
HMEL002070g1.t1	30404.3427766479	0.47491096206203	0.297981285682804	1.59376103426698	0.11098956806491	0.192564356537348
HMEL002071g1.t1	2702.30002325803	-1.70948943041681	0.227060432170119	-7.52878612129135	5.12141910997269e-14	2.79047594540652e-12
HMEL002072g1.t1	284.702331058013	1.28615380477666	0.282936243521517	4.54573719071397	5.47433092235772e-06	4.11589908496943e-05
HMEL002073g1.t1	931.476318237085	-0.498295182455139	0.233719030521163	-2.13202656772966	0.0330046625413986	0.0711678918335701
HMEL002075g1.t1	686.674837241612	-0.937536651106139	0.264489166724483	-3.54470719053218	0.000393049457040913	0.00167852136228848
HMEL002076g1.t1	341.584641325979	1.57165827870847	0.239076106357758	6.57388269640217	4.90198557901034e-11	1.37560128382529e-09
HMEL002079g1.t1	0	NA	NA	NA	NA	NA
HMEL002085g1.t1	2065.65678065294	1.37564825892896	0.223120132563907	6.16550484764053	7.02586174556058e-10	1.51126178222864e-08
HMEL002086g1.t1	4016.63977747064	-11.0449335894507	0.832449804242145	-13.2679874908565	3.54986691688572e-40	1.24271966092877e-36
HMEL002086g2.t1	427.745003348411	-10.1068665987844	1.13648218549467	-8.89311484841732	5.94193450514113e-19	1.06672960096784e-16
HMEL002086g3.t1	2966.0122156301	-12.1397888450131	0.830310308858978	-14.6207854045504	2.06998532572186e-48	1.44930022580416e-44
HMEL002087g1.t1	410.733432824214	-1.86993996854321	0.475025044976264	-3.93650816587292	8.26758083025029e-05	0.000446458851722987
HMEL002088g1.t1	38.5967477113632	-0.779634152619684	0.325729978658011	-2.39349830749915	0.0166885583245167	0.0403888493291059
HMEL002091g1.t1	0.274606412021442	0.314966740727046	1.52064267405461	0.207127385085956	0.835910375612512	NA
HMEL002092g1.t1	1596.46958396377	3.79228977597113	0.487487768832747	7.77925112880572	7.29551128391317e-15	4.64359293221073e-13
HMEL002096g1.t1	28.7493953736391	-1.38424211837499	0.96155983706369	-1.43957980046468	0.149986317862964	0.246653952910755
HMEL002096g2.t1	68.9202191693464	-1.534669544777	0.91292537579262	-1.68104599288257	0.0927539813507187	0.166262236296669
HMEL002099g1.t1	210.00217549993	1.17866391118186	0.332212817073543	3.54791823375357	0.000388288742126871	0.00166224618037376
HMEL002100g1.t1	0.0891613255765184	-0.377222504963871	2.75332470803359	-0.137006181604087	0.891025908976891	NA
HMEL002100g2.t1	421.546129281302	-0.195077996141812	0.265475030732899	-0.734826155225441	0.462445375863538	0.589121415412765
HMEL002108g1.t1	2.53355916887224	-1.86585744493041	1.02839830336854	-1.8143334531171	0.069626404228837	0.131647115638186
HMEL002108g2.t1	0.141002273979857	-0.0108963009396849	3.08660184580209	-0.00353019322997695	0.997183319175522	NA
HMEL002108g3.t1	5.7956003962298	-3.52404994042073	1.24762968049063	-2.82459610854632	0.00473402483670578	0.0139500315211261
HMEL002110g1.t1	3.02067478571136	-1.17147237921491	0.979428636671818	-1.19607732034023	0.231666387157373	0.349195308865951
HMEL002110g2.t1	0	NA	NA	NA	NA	NA
HMEL002110g3.t1	0	NA	NA	NA	NA	NA
HMEL002112g1.t1	14312.5221461002	2.11019454202323	0.331614517643021	6.36339614146456	1.97340848729563e-10	4.82934737924909e-09
HMEL002113g1.t1	12.8181917954417	0.450098875731696	1.92977633755677	0.233238882129498	0.815575914732441	0.875470259409611
HMEL002114g1.t1	0	NA	NA	NA	NA	NA
HMEL002114g1.t2	0.00767007906845506	-0.722847552187641	3.82940534725217	-0.188762349931518	0.850279081696172	NA
HMEL002115-RA	0.567522165647665	-0.071713209269628	1.13440145478228	-0.063216781825612	0.949593881543456	0.967104975211306
HMEL002116-RA	0.52543390605222	0.426345070968853	1.52168856423078	0.280178928192428	0.779340232366918	0.850062414226044
HMEL002117g1.t1	156.357022659641	3.11418354124718	0.591162617746213	5.26789659522096	1.37995797681624e-07	1.62519357017307e-06
HMEL002118g1.t1	31.946394518948	3.26502919737476	0.727457067754991	4.48827751093407	7.18013584604211e-06	5.2503103003722e-05
HMEL002119g1.t1	56.2325962980455	2.76398647529326	0.825624744243736	3.34775149916933	0.000814700281377621	0.00314884019876644
HMEL002121g1.t1	133.653268250214	7.81035934152376	1.22537591617381	6.37384759928309	1.84343781489003e-10	4.54465840174385e-09
HMEL002123g1.t1	4.96692010916429	2.21624240402741	0.745593270198072	2.972454946433	0.00295428565087052	0.00937219346831442
HMEL002123g2.t1	144.824139510668	5.23399084702887	0.701435540870916	7.46182727001578	8.53307045175321e-14	4.56063303572138e-12
HMEL002123g3.t1	0.690550618895743	0.31897858635256	1.36489881447282	0.23370126999177	0.815216901743643	0.875420419870877
HMEL002123g4.t1	0.222341337532508	0.225541755295207	1.82550040347052	0.123550646642653	0.901671071243682	NA
HMEL002123g5.t1	0.434678144539762	-0.834061101275261	1.37940015803035	-0.604654926577809	0.545408302783656	0.665100798038799
HMEL002123g6.t1	130.692820636863	4.9446551149366	0.696860943783343	7.0956123442526	1.28779990823183e-12	5.43164521535249e-11
HMEL002124g1.t1	129.667041716765	9.12048013550822	1.03943125145604	8.77449097545621	1.7167864142321e-18	2.64177584159254e-16
HMEL002125g1.t1	0.976352495910049	-1.04153176706794	1.2444649801791	-0.836931358982911	0.402631152249485	0.532279895859498
HMEL002125g2.t1	0.0154785639418539	-0.722847552187641	3.82940534725217	-0.188762349931518	0.850279081696172	NA
