baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
HMEL000048g1.t1	11.6287698295007	0.667931074748525	0.460719074817134	1.44975780526048	0.147126069778669	0.234956420770386
HMEL000049g1.t1	2.18800360263959	0.804850314254163	0.561490308995779	1.43341799735356	0.151738418153123	0.240694733739269
HMEL000050-RA	229.524704478031	-0.975485929436315	0.324662225225991	-3.0046178878904	0.00265914687025748	0.00813906502067292
HMEL000051g1.t1	45.5556930366191	6.39629995389645	0.862537177792693	7.41568029596722	1.21002069931753e-13	3.30785087173433e-12
HMEL000053-RA	1396.71104165524	0.326126625819002	0.280179598258313	1.16399133929205	0.244427521582997	0.350325725913516
HMEL000055g1.t1	2.14192032786435	0.389335972168988	0.543108090207914	0.716866456583148	0.47345650104553	0.579930673637061
HMEL000055g2.t1	0.0132065430023242	-0.490105419673209	2.98066755074416	-0.164428072346024	0.869394165783082	NA
HMEL000055g3.t1	0.54074204239047	1.20588122507506	0.764523311180334	1.57729817709982	0.114726931655299	0.192512676618363
HMEL000056g1.t1	7.47950436323518	-1.41550635869388	0.57009961003064	-2.48291058928773	0.0130313791734431	0.0318668178390279
HMEL000058-RA	20.4994631008818	-0.279543981989237	0.406957195128211	-0.68691249432552	0.492137872971103	0.597712004136521
HMEL000059g1.t1	38.0731405815211	-1.28922330734094	0.34987381068594	-3.68482369347215	0.000228861005049908	0.000968626701408516
HMEL000060g1.t1	476.155848354327	-0.375565343501471	0.278477794086409	-1.3486365932105	0.177453720900631	0.272415852215836
HMEL000061g1.t1	134.432262183638	-0.506229758870745	0.386714831669704	-1.3090518320309	0.190516793913839	0.288215139269676
HMEL001000g1.t1	0.217635439793751	-0.798603781176652	2.4999223914929	-0.31945142933007	0.749384217093651	NA
HMEL001000g2.t1	0.1842266014002	-1.56689133982618	2.97831129275325	-0.526100593862939	0.598818316074882	NA
HMEL001000g3.t1	0.046769496808885	-0.215308841655495	2.98066755029644	-0.0722351077476192	0.942414806196788	NA
