baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
evm.model.Herato0101.120	11.5047789967753	-0.520685725739029	0.589205418589174	-0.883708311756174	0.376853692311632	0.533220164476581
evm.model.Herato0101.121	418.699975084423	-0.332043103701961	0.404291717514139	-0.821295834956969	0.411477779560906	0.566667190120332
evm.model.Herato0101.122	122.231901361786	0.186083233582873	0.32899423986297	0.565612436437727	0.571657271769838	0.708696010214115
evm.model.Herato0101.123	1.20245274033502	-1.59961436985719	1.19815277143952	-1.33506711997613	0.181854379632312	0.317253940913916
evm.model.Herato0101.124	1.88991474668777	-0.328814428556482	0.856548056555924	-0.38388322294327	0.701065001601268	0.807185876532074
evm.model.Herato0101.124.1	0	NA	NA	NA	NA	NA
evm.model.Herato0101.124.2	10.7088730307083	-0.129940293905971	0.36494748319095	-0.356052034582692	0.721801597214497	0.822672479911812
evm.model.Herato0101.125	16.6440168265216	0.0336584416915409	1.13102053057534	0.0297593551855501	0.976258974261166	0.986498343181165
evm.model.Herato0101.126	0	NA	NA	NA	NA	NA
evm.model.Herato0101.127	0	NA	NA	NA	NA	NA
evm.model.Herato0101.127.1	0	NA	NA	NA	NA	NA
evm.model.Herato0101.128	1.52410247382246	4.02197222839105	1.88246044899921	2.13655072037731	0.0326345514344284	0.0868492026860677
evm.model.Herato0101.129	0	NA	NA	NA	NA	NA
evm.model.Herato0101.129.1	0	NA	NA	NA	NA	NA
evm.model.Herato0101.130	0	NA	NA	NA	NA	NA
evm.model.Herato0101.130.1	0	NA	NA	NA	NA	NA
evm.model.Herato0101.130.2	0	NA	NA	NA	NA	NA
evm.model.Herato0101.131	0	NA	NA	NA	NA	NA
evm.model.Herato0101.131.1	0	NA	NA	NA	NA	NA
evm.model.Herato0101.132	58.4763600740568	0.467013964905885	0.811415143198617	0.575554904071552	0.564916069752772	0.701708483171699
evm.model.Herato0101.133	401.243634519505	-0.564202859290928	0.201114811624346	-2.8053769622139	0.00502577647276424	0.018859653070986
evm.model.Herato0101.134	269.326514451911	-0.324513117774919	0.157859181935565	-2.05571265349252	0.0398102215335788	0.101251214649885
evm.model.Herato0101.135	0.0115120709077184	-0.272214702223117	3.00725511878861	-0.0905193245901835	0.927874538188467	NA
evm.model.Herato0101.135.1	0.617051198894339	-0.832956256192223	0.878916069713061	-0.947708529739543	0.343277857382356	0.497346676179
evm.model.Herato0101.135.2	101.396515349105	-0.323883137551965	0.234063161066326	-1.38374247393928	0.166437323070324	0.297615993191259
evm.model.Herato0101.136	0.621158340382035	-0.331248490546281	0.841045825754927	-0.393853081963697	0.693689511491671	0.801574477455028
evm.model.Herato0101.136.1	0	NA	NA	NA	NA	NA
evm.model.Herato0101.137	49.5846413868893	0.395330015130301	0.701102991173309	0.563868675654498	0.572843509542988	0.709647171032042
evm.model.Herato0101.138	0	NA	NA	NA	NA	NA
evm.model.Herato0101.139	15.3620540781531	0.85685930632662	0.737222346715216	1.16228070153389	0.245121462988856	0.3924699438937
evm.model.Herato0101.14	6.43639417955946	-5.47286999371322	1.06398198569078	-5.14376189382567	2.69290804801845e-07	3.26945419163243e-06
evm.model.Herato0101.140	0	NA	NA	NA	NA	NA
evm.model.Herato0101.141	0	NA	NA	NA	NA	NA
evm.model.Herato0101.142	0.981238874928884	-0.212599121017369	0.829665161253528	-0.256246894465421	0.797760200521043	0.877648496015464
evm.model.Herato0101.143	4.22697678638135	-0.632412035401897	0.701430699752301	-0.901603017411732	0.367267787560378	0.523006622363868
evm.model.Herato0101.144	0.0713979881593756	-0.578000094112663	3.00725511878861	-0.192201882208615	0.847584071601069	NA
evm.model.Herato0101.145	0.123733028848253	-0.286562381437203	2.03861046728301	-0.140567502245352	0.888211622724058	NA
evm.model.Herato0101.146	0.376227818345333	-1.07593810883186	2.50400885973726	-0.429686222813429	0.667423906646575	NA
evm.model.Herato0101.147	0.0115120709077184	-0.272214702223117	3.00725511878861	-0.0905193245901835	0.927874538188467	NA
evm.model.Herato0101.148	0	NA	NA	NA	NA	NA
evm.model.Herato0101.149	0.0115120709077184	-0.272214702223117	3.00725511878861	-0.0905193245901835	0.927874538188467	NA
evm.model.Herato0101.15	365.788569530952	0.404230419236209	0.143354064195544	2.81980438786034	0.00480529323735722	0.0181867373847389
evm.model.Herato0101.150	0.0275199865092195	-0.578000094112663	3.00725511878861	-0.192201882208615	0.847584071601069	NA
evm.model.Herato0101.151	723.243129688332	1.42735886064547	0.423366951755395	3.37144610538742	0.00074774667545609	0.00369761640680525
evm.model.Herato0101.152	0.319342401131474	0.53069421952879	2.24202637433423	0.236702933383814	0.812887259115318	NA
evm.model.Herato0101.152.1	19.1134779370262	0.418870218411124	0.401602819703093	1.04299620884334	0.296950048617139	0.450321801827693
evm.model.Herato0101.153	124.240418217025	0.654105551091264	0.325618364464493	2.00881038195434	0.0445572468162263	0.11073385721362
evm.model.Herato0101.154	1453.16053760622	-0.0609493669224449	0.169833615224106	-0.358876932826393	0.719687156641946	0.821318760437204
evm.model.Herato0101.155	0	NA	NA	NA	NA	NA
evm.model.Herato0101.155.1	0.0562178690455387	-0.397664844910381	3.00725511878861	-0.13223515438576	0.894798296081925	NA
evm.model.Herato0101.155.2	6.26361248739969	-0.353253888312295	0.482095748858758	-0.732746325078651	0.463713163890949	0.615337316722358
evm.model.Herato0101.156	551.148830594717	-0.39599126755126	0.2651817732404	-1.49328237273787	0.135363287752076	0.255538125605906
evm.model.Herato0101.157	23.0840854709321	0.690429152149979	0.431473883156733	1.60016441110801	0.109562114961482	0.218265087676647
evm.model.Herato0101.158	0	NA	NA	NA	NA	NA
evm.model.Herato0101.158.1	0	NA	NA	NA	NA	NA
evm.model.Herato0101.159	0.397056750825365	-0.957084233816114	2.34410693391721	-0.408293759967999	0.683058019945973	NA
evm.model.Herato0101.159.1	0	NA	NA	NA	NA	NA
evm.model.Herato0101.159.2	0	NA	NA	NA	NA	NA
evm.model.Herato0101.16	26.3603048167937	-0.418703898638733	0.764479390821047	-0.547698085345437	0.583899227031156	0.719135128480258
evm.model.Herato0101.160	0.537568993297798	2.49541674518057	1.86213741214072	1.34008195577351	0.18021870174137	NA
evm.model.Herato0101.161	534.459669242876	-0.793447259118072	0.197093590111907	-4.02573852689761	5.6796773646385e-05	0.000389190029531062
evm.model.Herato0101.162	0.11461943586441	-0.960522045011115	2.9790172706565	-0.322429162956629	0.747127594061414	NA
evm.model.Herato0101.163	0.0961512219370646	-0.650129888693747	3.00722123108052	-0.216189577931434	0.82883997707078	NA
evm.model.Herato0101.164	0	NA	NA	NA	NA	NA
evm.model.Herato0101.165	0.0274668128534516	-0.272214702223118	3.00725511878861	-0.0905193245901836	0.927874538188467	NA
evm.model.Herato0101.166	0.786690514995435	2.46843849583134	1.89101293552672	1.30535251740294	0.191772838863704	0.329578147900044
evm.model.Herato0101.167	0	NA	NA	NA	NA	NA
evm.model.Herato0101.168	3.24176777331842	2.96140816740699	0.716963782547732	4.13048502517605	3.61998675995434e-05	0.000265222101331334
evm.model.Herato0101.169	22.4916562799096	-0.29035810613585	0.939351493382148	-0.309104853914068	0.757241766987997	0.848731345006146
evm.model.Herato0101.17	3.20378935706783	-1.13673098041301	0.903696713800169	-1.25786778136317	0.208439577335863	0.349909168187894
evm.model.Herato0101.170	0.0211012250713828	-0.578000094112663	3.00725511878861	-0.192201882208615	0.847584071601069	NA
evm.model.Herato0101.171	0	NA	NA	NA	NA	NA
evm.model.Herato0101.171.1	0.151036617787606	-1.17808857474029	2.01849611959593	-0.583646687899563	0.559458042044184	NA
evm.model.Herato0101.171.2	0	NA	NA	NA	NA	NA
evm.model.Herato0101.172	158.443306017491	-0.843307156241592	0.367202056230185	-2.29657525586664	0.0216430115465158	0.0623755766692266
evm.model.Herato0101.173	1564.52949236562	0.183467281003735	0.214086680136873	0.85697662688047	0.391457802093867	0.547411686491378
evm.model.Herato0101.174	922.393699654778	0.365058863098194	0.160971645100976	2.26784576171285	0.0233386091263561	0.0661922818705082
evm.model.Herato0101.175_evm.model.Herato0101.176	0.188318909517673	-0.100308417572007	2.71516370897627	-0.0369437825205125	0.970529830154494	NA
evm.model.Herato0101.175_evm.model.Herato0101.176.1	3.01232501921782	1.76387539727784	0.782554242616982	2.25399761603639	0.0241963179509162	0.0682250230347421
evm.model.Herato0101.177	305.223580907377	-0.272582727443908	0.299006637707627	-0.911627680019742	0.36196474605914	0.517250958170864
evm.model.Herato0101.178	512.205930327623	-1.07107025065609	0.313673262099006	-3.41460487734535	0.000638745974845863	0.00322290794259368
evm.model.Herato0101.179	28.0361397212069	-0.410601554369993	0.571174349552366	-0.718872538116925	0.472219458369865	0.622721792882762
evm.model.Herato0101.179.1	0	NA	NA	NA	NA	NA
evm.model.Herato0101.18	0.106393295029455	-0.6501270478288	2.95768671181546	-0.219809300705058	0.82601967586268	NA
evm.model.Herato0101.180	0.603325071977022	-1.72350077548046	1.4541624294193	-1.18521888656463	0.235930914406499	0.381468568368948
